,GANet-deep,M2S_CSPN,AMNet,GwcNet-gc,HD^3-Stereo,PSMNet,HSM,GC-NET,RecResNet,SGM-Net,MC-CNN-acrt,PRSM,SPS-St,Content-CNN,CBMV,MEDIAN
GANet-deep,,0.7550982128876933,0.7494102336058637,0.7596666449340314,0.7205565884484165,0.7416113457112126,0.7238308885442859,0.6994285644824931,0.6691054637627578,0.616460296918726,0.6350424432783804,0.636289533804352,0.6037708259286669,0.6278994534274196,0.6041668955189365,0.33809269589097196
M2S_CSPN,,,0.7206005564750017,0.7662868592533978,0.7012128972522034,0.754402170896467,0.7112418545759027,0.714158194261199,0.6702845740595802,0.6218146937325726,0.6386764653888619,0.6225830099268646,0.6132912326044957,0.6257226625922405,0.619591025847941,0.3246747085086191
AMNet,,,,0.7529132646126027,0.6943346072254545,0.7393058211768232,0.7089898905843581,0.6900244826032248,0.642194686467048,0.6014681879348303,0.6224916040653417,0.6105530708474938,0.6084891362178886,0.621709717564565,0.6080960272849575,0.3377257616809447
GwcNet-gc,,,,,0.6909091293116243,0.781108315685465,0.7504859336966663,0.7140975554815564,0.6881150265229798,0.637705527754599,0.6523750485038233,0.6351614957029856,0.6275419599849624,0.65825755088867,0.629054106476706,0.34350630412841987
HD^3-Stereo,,,,,,0.6916411011150746,0.6985955651776447,0.692025167311062,0.5996216872267919,0.5747637773995931,0.576881989161682,0.5999008142592925,0.5614230289314152,0.5789177956407834,0.5368421686914034,0.2944638357266391
PSMNet,,,,,,,0.7377838054055289,0.7282006762216955,0.6670002120783517,0.6391855503730165,0.6515825008260248,0.6323112932826418,0.6396796762810657,0.6536430570593204,0.626618368284375,0.33949002432208764
HSM,,,,,,,,0.7037167240161475,0.6585888901513504,0.6528148550012686,0.6654739840799108,0.6709334564082614,0.6362256683215011,0.6751186855091701,0.6302043805607404,0.33200564491262474
GC-NET,,,,,,,,,0.6373043498890385,0.6381282216912949,0.6414247087014235,0.6240058082058139,0.6105698078780701,0.6367351740541565,0.6021372648476025,0.3151068897178523
RecResNet,,,,,,,,,,0.6864539984173914,0.7429135133041221,0.6271048486550551,0.6249774818570814,0.6860046257870731,0.6825379624730348,0.37182761663274316
SGM-Net,,,,,,,,,,,0.8439046072427809,0.6687008385587099,0.6988181552191658,0.7570746511333138,0.7460421243072315,0.32598915267238326
MC-CNN-acrt,,,,,,,,,,,,0.6729468074196039,0.7174846383299263,0.8273018314706236,0.8342729793112287,0.34758176444888533
PRSM,,,,,,,,,,,,,0.6958442553996791,0.6822817342439407,0.6718737544606903,0.3211088322501509
SPS-St,,,,,,,,,,,,,,0.730009092188091,0.7412253083776056,0.32936830924066013
Content-CNN,,,,,,,,,,,,,,,0.7794280846435078,0.37800344573204575
CBMV,,,,,,,,,,,,,,,,0.3340048293312376
MEDIAN,,,,,,,,,,,,,,,,
