,GANet-deep,M2S_CSPN,AMNet,GwcNet-g,HD^3-Stereo,PSMNet,HSM-1.5x,HSM-1.8x,GC-NET,RecResNet,SGM-Net,MC-CNN-acrt,PRSM,SPS-St,Content-CNN,CBMV
GANet-deep,,0.9293510132259746,0.9433301929172812,0.9302108671049322,0.7954850537307763,0.9665697028454387,0.9669565596233346,0.9671902481832078,0.9137234642726593,0.9683605059347625,0.9109251874424519,0.946847621725896,0.9582510247317367,0.9556169671285142,0.955931143875145,0.9507439480792303
M2S_CSPN,,,0.9240782644746979,0.9350191428164989,0.7636318208623825,0.9128810996975598,0.9058168535386111,0.9062889926594204,0.9288997213946777,0.9192005994110145,0.8949019196898196,0.9032586538884239,0.8986412749354269,0.8965347932345082,0.8981418492586805,0.8924260638870726
AMNet,,,,0.9343744676402803,0.7794348623669892,0.9401268276683693,0.9338345127838739,0.9341960787048265,0.9078779234495131,0.9405437735648784,0.8933996186890083,0.9319723193260885,0.92826914655453,0.9239393140092383,0.9265242115574711,0.9200261730687742
GwcNet-g,,,,,0.772151751464222,0.9214049283940582,0.9129435388043945,0.912820071814554,0.9298751108322453,0.9268857874703714,0.9118274057851996,0.9215763039678782,0.912671998274574,0.9106474534175313,0.9136415125836297,0.9109815569761969
HD^3-Stereo,,,,,,0.8141132933473119,0.8086486303237903,0.8084418964836841,0.7549001104687578,0.8038024422974657,0.7385679876810667,0.781449965718799,0.8027411578694643,0.8041352797730855,0.8013872725031199,0.7958162117576029
PSMNet,,,,,,,0.9834717856752322,0.9841038238855113,0.9006530979367297,0.9781420830907713,0.8938660076585295,0.9496508758696163,0.9782566882371049,0.9748381957529645,0.9728474045430909,0.9666120019830388
HSM-1.5x,,,,,,,,0.9957690302675637,0.8950837430876396,0.9775027284501491,0.8898669151825036,0.9493720375736224,0.977695758434988,0.9751259709630741,0.9724091838985321,0.9678279691712282
HSM-1.8x,,,,,,,,,0.8950181292480919,0.9778534916894743,0.8891458354219107,0.9492690376467898,0.9779817275552171,0.9753089025542838,0.9728725400271558,0.9681064685326042
GC-NET,,,,,,,,,,0.9050043045575775,0.8814815234267851,0.8940061384954772,0.8925303511877463,0.8887617653752731,0.8899658863768914,0.8863275631580712
RecResNet,,,,,,,,,,,0.9134697603457287,0.9623711040582282,0.9742444219569183,0.9746172939397664,0.9735286623982435,0.9681546191724568
SGM-Net,,,,,,,,,,,,0.9144602917906056,0.8988103626419652,0.899526626201878,0.9033854284315634,0.8976026830704713
MC-CNN-acrt,,,,,,,,,,,,,0.9563181923898322,0.9571954351207459,0.9618277586092956,0.9545838769854006
PRSM,,,,,,,,,,,,,,0.981847571723829,0.9797239289386395,0.9759941311288276
SPS-St,,,,,,,,,,,,,,,0.9831901692733057,0.9786418530052294
Content-CNN,,,,,,,,,,,,,,,,0.9769090016874997
CBMV,,,,,,,,,,,,,,,,
