,GANet-deep,M2S_CSPN,AMNet,GwcNet-g,HD^3-Stereo,PSMNet,HSM-1.5x,HSM-1.8x,GC-NET,RecResNet,SGM-Net,MC-CNN-acrt,PRSM,SPS-St,Content-CNN,CBMV
GANet-deep,,0.7283631122801285,0.6856248828380905,0.7223582267997278,0.7142609801047772,0.7012863318849795,0.7073267050784064,0.7146248335045816,0.677693123585226,0.6453736193328601,0.5721320125824711,0.5455156051077672,0.5062210483172465,0.5051687791288318,0.4866985172317917,0.47391227538356107
M2S_CSPN,,,0.699504213331609,0.724385470136162,0.6839594674605272,0.7255131678740223,0.6838266861529437,0.6981394386579491,0.6736742872830808,0.6518965639432847,0.5601842750631661,0.5417700115368846,0.5063849698827767,0.5116237062634768,0.48182567726297376,0.4786698851720059
AMNet,,,,0.7113277332875467,0.66657682919516,0.6844240503516468,0.6692282193825116,0.6654182136637921,0.6394785580835587,0.5917703999032897,0.5247980359997025,0.4945781619078472,0.4784984708239435,0.47255327811427045,0.4446007763160867,0.44769557806897897
GwcNet-g,,,,,0.7137103609123878,0.7592284260092528,0.7382725060215127,0.7385645042195649,0.6943391583524909,0.6686812749342617,0.6051768330501555,0.580633221343543,0.5316988092121706,0.542261051450938,0.5186153564693411,0.5041624570595812
HD^3-Stereo,,,,,,0.7113031803279612,0.7097354957869018,0.720946106208279,0.6820489878048008,0.6158744694111357,0.5455094461479957,0.5224923401308108,0.5011911256495041,0.48448580636907124,0.4685206857156718,0.4562686826028951
PSMNet,,,,,,,0.7103844008608975,0.7120534566608268,0.6618952053495948,0.6511688139481171,0.5636999066628549,0.5468332950074796,0.5206136450283012,0.5048065677578247,0.48174691520917035,0.47657414472248716
HSM-1.5x,,,,,,,,0.8829586472395036,0.6823965409478515,0.6560489139483037,0.6002223150058029,0.5654029002415277,0.5471531291768823,0.5439757254983589,0.516941361077296,0.5065481846165822
HSM-1.8x,,,,,,,,,0.6902838792705766,0.6630944389991326,0.5962822182937279,0.5616787325070096,0.5356967070760678,0.5341064423023499,0.5003922331720924,0.4988215166303206
GC-NET,,,,,,,,,,0.6258354544935523,0.5850822750280078,0.5635495383081737,0.5113089671619322,0.5322809422345876,0.5149830288418558,0.4896511424580165
RecResNet,,,,,,,,,,,0.6854248047719997,0.6836527681398485,0.5406917585589659,0.5831193445550222,0.5602930392104388,0.5834840274483593
SGM-Net,,,,,,,,,,,,0.7977134504430143,0.6257880222061194,0.7061225197120937,0.6592392453890407,0.6716773321344423
MC-CNN-acrt,,,,,,,,,,,,,0.6324996416851177,0.7103541724770088,0.6903214073194408,0.7186169022814215
PRSM,,,,,,,,,,,,,,0.6780196384396421,0.627759030103812,0.6109122828717669
SPS-St,,,,,,,,,,,,,,,0.697146586639926,0.6924337199881587
Content-CNN,,,,,,,,,,,,,,,,0.6883245134875551
CBMV,,,,,,,,,,,,,,,,
