,GANet-deep,M2S_CSPN,AMNet,GwcNet-gc,HD^3-Stereo,PSMNet,HSM,GC-NET,RecResNet,SGM-Net,MC-CNN-acrt,PRSM,SPS-St,Content-CNN,CBMV,MEDIAN
GANet-deep,,0.9612760675483216,0.9870992538226204,0.9930055902811157,0.9337972194238662,0.983617549669864,0.9919728341450934,0.9777826599020232,0.9812064913971235,0.9393863335409994,0.9713901140979125,0.9751116950509706,0.9760063855003033,0.9674588772269491,0.9711998379720728,-0.03233556533717069
M2S_CSPN,,,0.9592114040695998,0.9621417426434237,0.9019516825069527,0.9739712036420263,0.9588484002514968,0.9575669773657023,0.9560796688631108,0.9479830413493436,0.9418929785839273,0.9437561063572465,0.9444514806606922,0.9481786205749048,0.9383182829255109,-0.005349211581725357
AMNet,,,,0.9870347565513873,0.9283679987327863,0.9797859824379594,0.9861760876367693,0.9738140239088915,0.9813222173168331,0.9416582869882519,0.9662165248636059,0.975504250837186,0.969351619735923,0.964918371282155,0.9638868009503261,-0.02267069100053343
GwcNet-gc,,,,,0.9339999481018513,0.9839237001799592,0.9923244773418164,0.9790102321525069,0.9816052525639403,0.9393626605738673,0.9709994037678497,0.9756922424764479,0.9759578989215143,0.967416309181689,0.9715324889203558,-0.031062886235786465
HD^3-Stereo,,,,,,0.9234166922318028,0.9337086958107133,0.9242873251255098,0.9214233416379878,0.8781025471134882,0.9115220904279286,0.9153235455326543,0.9170343711677518,0.9063513685122748,0.9117382859313958,0.022672449879172805
PSMNet,,,,,,,0.9813893604665653,0.9732776680783953,0.9748595232036739,0.9469627323016866,0.9615084872681543,0.9652655239649477,0.9655139476836242,0.9651763043420456,0.9601420022056514,-0.02108407468028258
HSM,,,,,,,,0.9775125838357195,0.9813485159960373,0.9388699307377714,0.9720450059988341,0.9762114059297211,0.9774292263864257,0.9672885094008089,0.9728546505954279,-0.038989496042484376
GC-NET,,,,,,,,,0.96745604040049,0.935802991558505,0.9563572051487531,0.9608395651217043,0.9616660916471531,0.9544836063370982,0.9573844699914048,-0.0070256303300358066
RecResNet,,,,,,,,,,0.950030938281522,0.9727392804046173,0.9779360600483905,0.9689083760545548,0.9732083403840905,0.9680193173052383,-0.030683832946998453
SGM-Net,,,,,,,,,,,0.9442277219842807,0.9399393947379021,0.9390106263914604,0.9485403423999896,0.9343114851088492,0.0012899147030145431
MC-CNN-acrt,,,,,,,,,,,,0.9649007741059947,0.9727721312395303,0.9716490130476731,0.974597571420899,-0.032686188691143245
PRSM,,,,,,,,,,,,,0.9684660764981938,0.967331306738556,0.9649457165849291,-0.033617126197361506
SPS-St,,,,,,,,,,,,,,0.9653599871152373,0.9730436679172042,-0.035300023332728636
Content-CNN,,,,,,,,,,,,,,,0.9685893467365944,-0.02659417974369686
CBMV,,,,,,,,,,,,,,,,-0.03642135116110277
MEDIAN,,,,,,,,,,,,,,,,
